original_filename,suggested_filename,source_url,source_page,asset_type,alt_text,description,suggested_folder,quality_rating,recommendation,notes
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/3dbfe3dc-65bf-4f6e-9344-cc1477b5327e/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC06280.jpg,austin-tyler-team-portrait-with-camera-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7176f1cd-06ad-4c8b-90de-997b7ac808ec/DSC06280.jpg,"home,sereno",team/behind-scenes,"A young man with tattoos on his left arm, wearing a camouflage baseball cap backwards, black t-shirt, black pants, and black sneakers, stands on a concrete walkway holding a camera in his right hand. The background features concrete pillars and a sign that reads ""Shoot and Share on the Bridge"" with an arrow pointing to the right.","Austin/crew at work (portrait or filming). A young man with tattoos on his left arm, wearing a camouflage baseball cap backwards, black t-shirt, black pants, and black sneakers, stands on a concrete walkway holding a camera in his right hand. The background features concrete pillars and a sign that reads ""Shoot and Share on the Bridge"" with an arrow pointing to the right.",team-photos,8,KEEP,Austin/crew at work (portrait or filming).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7efe3af9-38c5-47ed-98d4-a0c245eb5d9b/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
DSC04771-2.jpg,austin-tyler-gallery-home-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/bd856279-3dd4-4d37-8d98-84762c9a3e0f/DSC04771-2.jpg,"home,sereno",portfolio,"A male performer on stage holding a microphone, with dramatic lighting and spotlights creating rays of light in the background, in black and white.","Real portfolio photograph (live performance / portrait). A male performer on stage holding a microphone, with dramatic lighting and spotlights creating rays of light in the background, in black and white.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC01728-2.jpg,austin-tyler-gallery-home-02.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/c64fbfc6-8b1d-4467-afb7-445cd8fc9ca6/DSC01728-2.jpg,"home,sereno",portfolio,"A man playing an acoustic guitar and singing into a microphone on a stage, with an American flag in the background, in a black-and-white photo.","Real portfolio photograph (live performance / portrait). A man playing an acoustic guitar and singing into a microphone on a stage, with an American flag in the background, in a black-and-white photo.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
DSC08494.jpg,austin-tyler-gallery-home-03.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/ac8bee28-af56-4735-9d81-bc2bafae45a2/DSC08494.jpg,"home,sereno",portfolio,"A male musician passionately singing and playing an acoustic guitar on stage with Nashville's Bluebird Cafe logo in the background, in black and white.","Real portfolio photograph (live performance / portrait). A male musician passionately singing and playing an acoustic guitar on stage with Nashville's Bluebird Cafe logo in the background, in black and white.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
bw+%283+of+15%29.jpg,austin-tyler-gallery-home-04.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/e5dd79a0-4d40-47b6-8918-6a5cd23b70f8/bw+%283+of+15%29.jpg,"home,sereno",portfolio,"Black and white photo of a female musician singing into a microphone and playing an acoustic guitar, with a male musician in the background playing an electric bass guitar, illuminated by stage lights.","Real portfolio photograph (live performance / portrait). Black and white photo of a female musician singing into a microphone and playing an acoustic guitar, with a male musician in the background playing an electric bass guitar, illuminated by stage lights.",gallery,8,KEEP,Real portfolio photograph (live performance / portrait).
Brian+Russell+Collins+Invoice.png,(not downloaded),https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/7950a381-02cd-41a3-864f-8c1b43402f46/Brian+Russell+Collins+Invoice.png,"home,sereno",spacer/placeholder,,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.,misc,1,REMOVE,SPACER — blank image reused ~12x as a divider. Odd source filename ('...Invoice.png'). Replace with real spacing/CSS.
%E2%80%98well+to+do%E2%80%99+2.png,austin-tyler-promo-cover-well-to-do-lindstrom-01.png,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/0b04e402-4ab3-43b3-b9c7-37d9c146ddbd/%E2%80%98well+to+do%E2%80%99+2.png,"home,sereno",promo-cover,"A young man stands confidently on a boat with a background of blue sky, bushes, and trees. The boat is on land, and the man is holding onto the boat's windshield frames. The text on the image reads, 'WELL TO DO' LINDSTROM.","Promotional single/cover artwork (artist release promo). A young man stands confidently on a boat with a background of blue sky, bushes, and trees. The boat is on land, and the man is holding onto the boat's windshield frames. The text on the image reads, 'WELL TO DO' LINDSTROM.",misc,8,KEEP,Promotional single/cover artwork (artist release promo).
IMG_6592.JPG,austin-tyler-promo-cover-drive-away-her-memory-anthony-gal-01.jpg,https://images.squarespace-cdn.com/content/v1/6968478fc6fc477d1fb25942/f2478bef-6b82-46f5-a4b0-7dce60ad575e/IMG_6592.JPG,"home,sereno",promo-cover,A man sitting in the back of a pickup truck's empty bed with trees in the background. Text at the top reads 'Drive Away Her Memory'. Text at the bottom reads 'Anthony Gal'.,Promotional single/cover artwork (artist release promo). A man sitting in the back of a pickup truck's empty bed with trees in the background. Text at the top reads 'Drive Away Her Memory'. Text at the bottom reads 'Anthony Gal'.,misc,8,KEEP,Promotional single/cover artwork (artist release promo).
